image_idx,mean_iou,class_0_iou,class_0_gt_pixels,class_0_pred_pixels,class_1_iou,class_1_gt_pixels,class_1_pred_pixels,class_2_iou,class_2_gt_pixels,class_2_pred_pixels,class_3_iou,class_3_gt_pixels,class_3_pred_pixels,class_4_iou,class_4_gt_pixels,class_4_pred_pixels,class_5_iou,class_5_gt_pixels,class_5_pred_pixels,class_6_iou,class_6_gt_pixels,class_6_pred_pixels,class_7_iou,class_7_gt_pixels,class_7_pred_pixels,class_8_iou,class_8_gt_pixels,class_8_pred_pixels,class_9_iou,class_9_gt_pixels,class_9_pred_pixels,class_10_iou,class_10_gt_pixels,class_10_pred_pixels,class_11_iou,class_11_gt_pixels,class_11_pred_pixels,class_12_iou,class_12_gt_pixels,class_12_pred_pixels,class_13_iou,class_13_gt_pixels,class_13_pred_pixels,class_14_iou,class_14_gt_pixels,class_14_pred_pixels,class_15_iou,class_15_gt_pixels,class_15_pred_pixels,class_16_iou,class_16_gt_pixels,class_16_pred_pixels,class_17_iou,class_17_gt_pixels,class_17_pred_pixels,class_18_iou,class_18_gt_pixels,class_18_pred_pixels
0,0.5734559602995061,0.9649649680931518,624611,813932,0.8404737493767193,168735,167363,0.8848191732237983,820275,805956,0.0,0,1067,0.0,2795,57244,0.36278843510078046,24870,42132,nan,0,0,0.5091164095371669,12149,7219,0.8916609235010338,42120,40224,0.0,0,1240,0.9222942695977647,37067,39183,0.6205768658935474,6821,9529,nan,0,0,0.8847767292701103,115256,109841,nan,0,0,nan,0,0,nan,0,0,nan,0,0,nan,0,2222
1,0.5956326656205008,0.9831673359997041,724654,914023,0.9024808114035088,40102,48593,0.9358494235801683,539220,580165,nan,0,0,0.17112661743784296,14684,2603,0.14710996730889617,11196,5296,nan,0,0,0.6195834330859469,3691,3074,0.9179782490308039,178722,182322,0.0,0,2568,0.954401281286311,31328,33073,0.0,0,2069,0.5874842654198885,4712,4116,0.9449856768904035,315554,317564,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.5790575916230366,1330,1686
2,0.6239093872896831,0.9537445025051613,705093,901933,0.40989201588988977,48914,27183,0.9742926627649802,765420,791401,nan,0,0,nan,0,0,0.5308249556475458,10086,11132,nan,0,61,0.6664430530709601,10218,12204,0.6991624278119861,24456,20327,0.0,0,2002,nan,0,0,0.6210943903478574,19536,29909,0.6247953820970105,20193,17646,0.9018795531112327,259255,272598,nan,0,0,nan,0,0,nan,0,0,nan,0,0,0.4808743169398907,5504,10756
3,0.3952195947624712,0.970301762189739,800019,1007799,0.1657882127455678,20405,3925,0.5773802289686687,66702,70488,nan,0,0,0.3375563372540398,14731,34737,0.23170818001698273,14707,21816,0.49860604760883553,8721,5295,0.5467283362807781,6480,5760,0.924859764004266,538920,565116,0.0,803,0,0.9189763136400763,72207,70900,0.24803440628989987,13716,4856,0.0,391,0,0.9035739272006852,288653,304759,nan,0,0,0.0,0,200,0.0,0,1501,nan,0,0,0.0,398,0
4,0.4532327815261619,0.9686539846009298,796643,1010270,0.6275018532246108,50357,40374,0.9156291216948754,406474,577917,0.0,0,19008,0.0,0,6861,0.09829206392756705,13181,4067,0.0,223,0,0.3687840290381125,8152,6932,0.9332493264969149,110527,121120,nan,0,0,0.9464382682529496,101194,101150,0.0,2220,0,0.5314285714285715,3559,2337,0.884480296029725,187140,204359,0.0,1571,0,nan,0,0,nan,0,0,nan,0,0,0.5240342081981716,2411,2757
5,0.4820481021742762,0.9420733387209345,824262,1061461,0.2027412093235311,67963,17453,0.9379680502765966,617602,674824,0.0,0,6,nan,0,0,0.3152569654696662,21558,15258,0.6380368098159509,5441,4226,0.50638750887154,2590,1744,0.36507136859781697,3187,5394,nan,0,0,0.9742239970956617,98537,101052,0.7133140891296611,19306,26186,nan,0,0,0.6715519909642316,174303,133990,nan,0,0,0.0,0,13317,0.0,0,42241,nan,0,0,nan,0,0
6,0.4754114167111467,0.9795854064233427,814517,998485,0.8179363032529622,72979,77848,0.7961068979947826,252533,214542,0.0,0,44552,0.16029986084302195,13354,13667,0.6786660433224249,56786,55268,0.3939251236166706,3598,2322,0.41497732111450525,7161,8815,0.9176930233517085,369077,399480,nan,0,0,0.9559832687331895,96049,99911,0.0,0,935,nan,0,0,0.8493924097962235,144687,154242,0.0,1400,0,nan,0,0,nan,0,0,0.02984171791511241,19833,597,0.1367638743032555,3386,26488
7,0.5243853174570205,0.9479207885496319,813140,1019538,0.43829341476838946,50264,32308,0.8397863183164997,224547,210842,0.0,0,27590,0.0,0,19787,0.47781442062659274,57542,76536,0.3167969192434024,7857,13631,0.40790842872008326,4885,8521,0.8894348394003659,322547,349984,nan,0,0,0.9412590291552828,106199,106506,0.05112474437627812,978,50,nan,0,0,0.8565658014245423,197237,192214,0.8134830396058367,17301,21353,nan,0,0,0.0,0,13,nan,0,0,0.8853920176684019,11560,18279
8,0.5561428707953411,0.9586408827537879,751635,962216,0.5984727374319018,59074,44054,0.9194556033681682,206834,210898,0.0,0,12940,0.0,0,17246,0.39808695652173914,32054,57994,0.6592995579734784,10757,11358,0.5228364334992577,6559,16849,0.9259537873421575,332130,347989,0.0,0,600,0.9659252456931947,111830,117501,nan,0,0,nan,0,0,0.9042614108650276,261131,254970,nan,0,0,0.0,0,189,0.8687463443166309,22680,25889,nan,0,0,0.6204641021647719,16626,16459
9,0.5238216130628582,0.948718172349004,782020,974106,0.7103679906542056,149124,147195,0.9226288236501745,291342,332113,0.0,0,648,0.0,0,7177,0.4764786722342619,27761,30768,0.3801258061947607,9962,8654,0.6083396005682293,17180,21935,0.9277966995791332,418325,448742,0.0,3172,181,0.540482538856734,30732,17654,0.0820328131252501,2453,441,nan,0,0,0.9328967987463622,34474,34895,nan,0,0,0.8036346669218989,78112,72643,nan,0,0,nan,0,0,nan,0,0
10,0.48656610356059726,0.9307282813754973,797823,949163,0.6689483927253205,26073,30076,0.8383038321240079,118272,117677,nan,0,0,0.27329974811083124,20150,58892,0.49672024700846773,59014,58408,0.0,75,21,nan,0,0,0.9164071011770683,579318,591733,0.089054813008838,4684,142000,0.9091453467963411,92449,100265,nan,0,0,nan,0,0,0.716185480400795,38054,47853,nan,0,0,0.0,0,915,0.0,0,149,nan,0,0,nan,0,0
11,0.5203441889746716,0.9659530190379974,641564,858720,0.004983084941025876,42320,25670,0.6731353723684129,154116,130410,0.0,574,3682,0.22573130455296062,36146,150150,0.3671132742207677,88251,70910,nan,0,0,0.5935302390998594,2157,2456,0.8675095029903608,283443,313894,0.6371399102923893,165439,121583,0.8810673735686445,155893,176734,0.3090111642743222,2262,1383,nan,0,0,0.856586378798701,123662,141404,nan,0,0,nan,0,0,0.3827138325252888,25733,100156,nan,0,0,nan,0,0
12,0.4199261263781309,0.9774602708195598,807584,1000913,0.7716936009855787,131653,114888,0.001378775475031238,19829,9044,0.0,0,63,0.0,0,105003,0.48572037794687956,62403,53093,0.024153074027603513,3103,1060,0.5072170169663206,6788,9143,0.8705839544020872,648280,642522,0.18846638261382212,19001,25724,0.7978543366576005,32082,34452,0.566656856974691,5176,5471,0.20777479892761394,2193,510,0.8891675208668912,50958,52721,0.7969383874239351,29516,27368,0.21592188017212843,30102,6631,0.0,0,2435,0.6776091669247445,4871,5963,0.0,0,148
